file	code	quote	note
windy-station-woolshed.md	no_usable_pricing	"Germinate School & Tertiary Programs: no price listed, 'Send an Enquiry'."
green-thumb-farm.md	usable_choice_spine	"Incursion: \"$650.00 + GST per session\", \"Back-to-back sessions: 2nd session only $250.00 + GST\""
qcamel.md	no_usable_pricing	"none listed ... no school or group rate is published on any of the pages read."
summer-land-camels.md	usable_choice_spine	"\"Never too small to meet a Camel\": \"$10 per child, for groups of 15+ pax\", with an add-on of \"$10 per person for a 30 min. entertaining camel talk\""
the-ginger-factory.md	usable_choice_spine	"Bundle \"2 x Rides\": $12 per student ... Bundle \"2 x Rides, 1 x Educational Tour\": $17 per student ... Bundle \"2 x Rides, 2 x Educational Tours\": $25 per student"	Individual rides and tours are also sold singly at their own price outside any bundle; a coder could instead read the three bundles as separate whole-visit products rather than a base plus chosen add-on tours.
thunderbird-park.md	no_usable_pricing	"school_offer_detail_level: no_school_offer"
trevena-glen-farm.md	no_usable_pricing	"pricing is by individual quotation only"
white-ridge-farm.md	no_usable_pricing	"Email us for further information and pricing"
australia-zoo.md	no_usable_pricing	"For more information, including our program guide and pricing, please contact us below."
beenleigh-historical-village-and-museum.md	no_usable_pricing	"none listed for the school programme or for general museum admission"
bestbrook-mountain-resort.md	no_usable_pricing	"Contact our office for current pricing and required forms."
billabong-sanctuary.md	usable_choice_spine	"$26 per student (Optional bag of animal feed- $3 per student)"
currumbin-wildlife-sanctuary.md	usable_choice_spine	"Primary Students* (4 - 12 years) $18.50 per student" plus "Nature Ed Session ... $4.50 per student"
david-fleay-wildlife-park.md	usable_no_choice	"School group – self-guided tour $9.80"; "Wild Ed ... $15.50"; "Into the Wild ... $15.50"; "Ranger guided park tour $15.50"	A coder could instead read these four programmes as tiers built on a shared self-guided base rather than fully separate products, and code this choice/spine.
drayhorse-shire-horse-farm.md	no_usable_pricing	"school_offer_detail_level: no_school_offer"
highfields-pioneer-village.md	usable_choice_spine	"Typical Cost per pupil $16.00 (this includes morning tea)." plus "Ride Henry the Model T Ford Bus... $5 Adults and $3 Child. (minimum booking of 12 persons)."
ipswich-nature-centre.md	no_usable_pricing	"Admission is free, however a donation of a gold coin would be appreciated."	A coder could instead treat the named gold-coin donation as a published price and code this usable/no_choice, since a figure is named even though it is not a fixed charge.
kur-cow-barnwell-farm.md	no_usable_pricing	"no school-group price is published anywhere on the site"
lone-pine-koala-sanctuary.md	usable_choice_spine	"Self-Guided Day \"$20 per student (inc. GST)\" ... Discovery Session ... \"$25 per student (inc. GST)\""	A coder could instead read Self-Guided Day and Discovery Session as two separate whole-visit products (excluded from "choice"), rather than Discovery Session being the Self-Guided base plus an added presentation.
maleny-botanic-gardens-and-bird-world.md	usable_choice_spine	"\"School Group - Garden & Farm Friends Entry Only\" from AUD $12.00 per head; \"School Group - Garden, Farm Friends & Bird World Entry\" from AUD $25.00 per head"	Same ambiguity as Lone Pine: could be coded as two separate products rather than a base entry plus a Bird World add-on.
rainforestation-nature-park.md	usable_choice_spine	"Rainforest & Wildlife ... (add $14 per student for the Tree Planting Experience...)" plus "Boomerang Painting $23.50pp; Canvas Art Workshop $23.50pp"
rockhampton-zoo.md	no_usable_pricing	"Entry to Rockhampton Zoo is FREE."
sarina-sugar-shed.md	usable_no_choice	"School tours: \"$13.50 per child (age 5 – 17 inclusive).\""
sea-world.md	usable_choice_spine	"The $80.00 Educational Program fee is \"charged per session, not per student\"; \"Selected programs incur a per student fee of $13.00 or an additional fee for the Tropical Reef Snorkel\""
splitters-farm.md	no_usable_pricing	"school-programme pricing itself is not published; the schools page states \"Schools can download our School Camp Options and Group Stay Options or contact us directly for customised programs, pricing, and availability\""
tommerups-dairy-farm.md	no_usable_pricing	"no per-student or per-group tour price is published on any of the pages read"
wildlife-hq-zoo.md	no_usable_pricing	"school_offer_detail_level: no_school_offer"
